[0.000000] (-) TimerEvent: {}
[0.000282] (-) JobUnselected: {'identifier': 'actions_py'}
[0.000631] (-) JobUnselected: {'identifier': 'arduinobot_controller'}
[0.000659] (-) JobUnselected: {'identifier': 'arduinobot_description'}
[0.000676] (-) JobUnselected: {'identifier': 'arduinobot_msgs'}
[0.000692] (-) JobUnselected: {'identifier': 'components_cpp'}
[0.000708] (-) JobUnselected: {'identifier': 'components_py'}
[0.000724] (-) JobUnselected: {'identifier': 'drone'}
[0.000739] (-) JobUnselected: {'identifier': 'drone_bringup'}
[0.000754] (-) JobUnselected: {'identifier': 'drone_interfaces'}
[0.000769] (-) JobUnselected: {'identifier': 'drone_yolo'}
[0.000784] (-) JobUnselected: {'identifier': 'executors_cpp'}
[0.000798] (-) JobUnselected: {'identifier': 'executors_py'}
[0.000813] (-) JobUnselected: {'identifier': 'lifecycle_py'}
[0.000828] (-) JobUnselected: {'identifier': 'mavros2'}
[0.000842] (-) JobUnselected: {'identifier': 'mavros_pkg'}
[0.000857] (-) JobUnselected: {'identifier': 'my_robot_bringup'}
[0.000872] (-) JobUnselected: {'identifier': 'my_robot_description'}
[0.000887] (-) JobUnselected: {'identifier': 'my_robot_interfaces'}
[0.000902] (-) JobUnselected: {'identifier': 'new_py_pkg'}
[0.000922] (-) JobUnselected: {'identifier': 'turtle_interfaces'}
[0.000938] (-) JobUnselected: {'identifier': 'turtlesim_bringup'}
[0.000953] (-) JobUnselected: {'identifier': 'turtlesim_catch_them_all'}
[0.000967] (-) JobUnselected: {'identifier': 'yolobot_control'}
[0.000982] (-) JobUnselected: {'identifier': 'yolobot_description'}
[0.000997] (-) JobUnselected: {'identifier': 'yolobot_gazebo'}
[0.001011] (-) JobUnselected: {'identifier': 'yolobot_recognition'}
[0.001026] (-) JobUnselected: {'identifier': 'yolov8_msgs'}
[0.001041] (-) EventReactorShutdown: {}
